,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,0,20,0.0
1,20,2.0,100,2020,0.23
2,20,-1.0,200,4020,-0.05
3,20,1.0,300,6020,-0.11
4,20,0.0,400,8020,0.56
5,20,0.0,500,10020,0.73
6,20,1.0,600,12020,0.63
7,20,1.0,700,14020,0.57
8,20,-2.0,800,16020,0.61
9,20,0.0,900,18020,0.73
10,20,1.0,1000,20020,0.57
11,20,0.0,1100,22020,0.72
12,20,-1.0,1200,24020,0.78
13,20,2.0,1300,26020,0.98
14,20,1.0,1400,28020,0.9
15,20,1.0,1500,30020,1.09
16,20,2.0,1600,32020,0.8
17,20,3.0,1700,34020,1.26
18,20,1.0,1800,36020,1.33
19,20,1.0,1900,38020,1.33
20,20,1.0,2000,40020,1.35
21,20,3.0,2100,42020,1.35
22,20,0.0,2200,44020,1.2
23,20,0.0,2300,46020,1.24
24,20,0.0,2400,48020,1.55
25,20,2.0,2500,50020,1.42
26,20,1.0,2600,52020,1.46
27,20,2.0,2700,54020,1.47
28,20,3.0,2800,56020,1.57
29,20,2.0,2900,58020,1.71
30,20,2.0,3000,60020,1.47
31,20,1.0,3100,62020,1.59
32,20,3.0,3200,64020,1.66
33,20,2.0,3300,66020,1.41
34,20,1.0,3400,68020,1.58
35,20,3.0,3500,70020,1.71
36,20,3.0,3600,72020,1.66
37,20,2.0,3700,74020,1.83
38,20,3.0,3800,76020,1.65
39,20,2.0,3900,78020,1.78
40,20,2.0,4000,80020,1.73
41,20,3.0,4100,82020,1.79
42,20,3.0,4200,84020,1.53
43,20,2.0,4300,86020,1.56
44,20,2.0,4400,88020,1.85
45,20,1.0,4500,90020,1.96
46,20,1.0,4600,92020,1.77
47,20,3.0,4700,94020,1.52
48,20,1.0,4800,96020,1.84
49,20,2.0,4900,98020,1.86
50,20,3.0,5000,100020,1.72
