,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,0,20,0.0
1,20,-1.0,100,2020,-0.12
2,20,0.0,200,4020,0.03
3,20,1.0,300,6020,0.19
4,20,0.0,400,8020,0.32
5,20,0.0,500,10020,0.64
6,20,0.0,600,12020,0.6
7,20,0.0,700,14020,0.49
8,20,2.0,800,16020,0.57
9,20,2.0,900,18020,0.63
10,20,0.0,1000,20020,0.54
11,20,1.0,1100,22020,0.48
12,20,0.0,1200,24020,0.47
13,20,-1.0,1300,26020,0.62
14,20,-1.0,1400,28020,0.44
15,20,1.0,1500,30020,0.56
16,20,1.0,1600,32020,0.61
17,20,0.0,1700,34020,0.51
18,20,2.0,1800,36020,0.61
19,20,0.0,1900,38020,0.55
20,20,1.0,2000,40020,0.54
21,20,0.0,2100,42020,0.56
22,20,1.0,2200,44020,0.65
23,20,1.0,2300,46020,0.66
24,20,0.0,2400,48020,0.6
25,20,0.0,2500,50020,0.49
26,20,0.0,2600,52020,0.59
27,20,1.0,2700,54020,0.49
28,20,0.0,2800,56020,0.45
29,20,1.0,2900,58020,0.67
30,20,0.0,3000,60020,0.66
31,20,0.0,3100,62020,0.57
32,20,0.0,3200,64020,0.57
33,20,1.0,3300,66020,0.57
34,20,0.0,3400,68020,0.55
35,20,0.0,3500,70020,0.59
36,20,1.0,3600,72020,0.52
37,20,0.0,3700,74020,0.59
38,20,1.0,3800,76020,0.57
39,20,1.0,3900,78020,0.56
40,20,0.0,4000,80020,0.57
41,20,2.0,4100,82020,0.5
42,20,1.0,4200,84020,0.66
43,20,1.0,4300,86020,0.67
44,20,0.0,4400,88020,0.54
45,20,0.0,4500,90020,0.53
46,20,0.0,4600,92020,0.52
47,20,0.0,4700,94020,0.64
48,20,0.0,4800,96020,0.57
49,20,0.0,4900,98020,0.59
50,20,0.0,5000,100020,0.64
