,episode_length,ep_reward,episodes,total_step,average_return
0,20,-1.0,0,20,-1.0
1,20,-1.0,100,2020,-0.98
2,20,1.0,200,4020,-1.0
3,20,1.0,300,6020,-0.31
4,20,0.0,400,8020,0.45
5,20,0.0,500,10020,0.45
6,20,1.0,600,12020,0.61
7,20,2.0,700,14020,0.6
8,20,0.0,800,16020,0.56
9,20,1.0,900,18020,0.5
10,20,0.0,1000,20020,0.52
11,20,0.0,1100,22020,0.53
12,20,1.0,1200,24020,0.69
13,20,1.0,1300,26020,0.67
14,20,0.0,1400,28020,0.71
15,20,0.0,1500,30020,0.62
16,20,0.0,1600,32020,0.67
17,20,1.0,1700,34020,0.62
18,20,1.0,1800,36020,0.62
19,20,0.0,1900,38020,0.62
20,20,1.0,2000,40020,0.72
21,20,1.0,2100,42020,0.79
22,20,1.0,2200,44020,0.73
23,20,0.0,2300,46020,0.83
24,20,1.0,2400,48020,0.74
25,20,2.0,2500,50020,0.84
26,20,2.0,2600,52020,0.75
27,20,1.0,2700,54020,0.74
28,20,0.0,2800,56020,0.73
29,20,0.0,2900,58020,0.85
30,20,2.0,3000,60020,0.95
31,20,2.0,3100,62020,0.81
32,20,1.0,3200,64020,0.82
33,20,1.0,3300,66020,0.91
34,20,1.0,3400,68020,0.8
35,20,2.0,3500,70020,0.91
36,20,2.0,3600,72020,1.03
37,20,2.0,3700,74020,0.82
38,20,1.0,3800,76020,0.9
39,20,0.0,3900,78020,0.9
40,20,0.0,4000,80020,1.03
41,20,2.0,4100,82020,0.93
42,20,0.0,4200,84020,0.91
43,20,1.0,4300,86020,0.88
44,20,1.0,4400,88020,1.1
45,20,0.0,4500,90020,0.86
46,20,2.0,4600,92020,1.04
47,20,2.0,4700,94020,1.15
48,20,0.0,4800,96020,1.0
49,20,1.0,4900,98020,1.02
50,20,1.0,5000,100020,1.14
